dataset,task,unit,err_mean,err_std,nll_mean,nll_std,cnll_mean,cnll_std,ma_mean,ma_std,sp_mean,sp_std
lipo,u0_atom,log D,0.7455647055931549,0.02263107728939752,1.120559415190898,0.04168098623808891,1.0793737933103005,0.03915580510725637,0.06347202380952383,0.007603185991702877,0.21278318256508272,0.04193448296608728
delaney,lipo,log mol/L,0.7942183574993558,0.04062490505262616,1.2849306352947194,0.08919602685639084,1.1468168257200877,0.0576673408340401,0.13608694690265488,0.01798862960974265,0.24631159344399645,0.04867339043249764
freesolv,freesolv,kcal/mol,1.4291948592709176,0.1227117050181496,1.8945649099733048,0.07873143108259795,1.6739265453694165,0.10311800947964596,0.18667098445595853,0.01506496998424017,0.3853505922493456,0.12413758449966339
qm7,logSolubility,kcal/mol,58.59267533055009,6.604483676018446,5.968869401883867,0.10325844748205756,5.870014097625864,0.0906139333482034,0.2432157271839922,0.022264024382067756,0.5792844629997791,0.03175780497963769
qm9,mu,D,0.8532008724575539,0.020664368825590047,1.4643074789522197,0.046921696643539124,1.3938312455292095,0.03567603701463098,0.07286102397490478,0.012396588769085183,0.3865898377993623,0.029610190249986092
qm9,alpha,a_0^3,1.659438287131428,0.3934519122875608,2.4651785791288967,0.22313290822133877,1.993051341639673,0.1342638609601606,0.24493240719994025,0.02118020258737336,0.5951482786156781,0.08871019236643576
qm9,homo,eV,0.245611854360139,0.023525172206139155,0.34086066790295666,0.09656047692290697,0.16748947525303878,0.07637699976828738,0.14211740981402643,0.011311403050655925,0.3790732528467682,0.06520374037463737
qm9,lumo,eV,0.38315565408226426,0.06858977896857577,0.9134551402133266,0.17810080876859347,0.5382231509713309,0.16241378487950653,0.19641384718799013,0.017605790554605445,0.5164382919914355,0.08565211627497979
qm9,gap,eV,0.4409308451977777,0.06754153857874716,0.9988707575254112,0.15560795632841384,0.7224124600436915,0.13455644304580236,0.1694049219508552,0.019950128360094983,0.4220004944534468,0.06454981671987056
qm9,r2,a_0^2,83.21966034515646,15.10763702723004,6.250696345990676,0.17703744350628706,5.9196085620772285,0.19234667251988494,0.2053536485174397,0.016751842019735744,0.504471390181878,0.04251151637809543
qm9,zpve,eV,0.18631910488440281,0.059233859434079675,0.30867473810166834,0.30934588633474336,-0.4306392858776365,0.4692014455065326,0.26595199417432225,0.043072416822359946,0.861951775869614,0.04387535771623417
qm9,cv,cal/mol K,0.9464521338942897,0.2564326324253705,1.8870894928951698,0.24581653934028258,1.3444149736121418,0.28139024227799786,0.23978181716334307,0.02764373682776049,0.6723161569999564,0.1154612161812081
qm9,u0,kcal/mol,4.257534916600306,2.2920279980916174,3.10066121530475,1.3574031144806806,1.93233364640438,1.4535618295042378,0.3477398237359026,0.03166814853931036,0.8197401540455073,0.1086271934315712
qm9,u298,kcal/mol,4.255077340789934,2.2930119424741684,3.1005751715481544,1.357563129672634,1.9263049909260834,1.464194765818945,0.34888778101426543,0.03317323947918117,0.812154861926162,0.12134123610396015
qm9,h298,kcal/mol,4.256251506918116,2.292039552945834,3.0993608643712096,1.3597156346317212,1.9248967823160203,1.466525449124177,0.34884978340428713,0.03308813749743116,0.8153881781661547,0.11693560942987306
qm9,g298,kcal/mol,4.254336507859135,2.291712742992839,3.0972394110844403,1.3631153977293777,1.9258423829749445,1.4631126774509247,0.3482016767495706,0.03207085959310702,0.8124759525623192,0.11869023500664938
