dataset,task,unit,err_mean,err_std,nll_mean,nll_std,cnll_mean,cnll_std,ma_mean,ma_std,sp_mean,sp_std
lipo,u0_atom,log D,0.674812892606458,0.030612537404460745,1.0173389583827035,0.04893092477910064,1.0045648461719128,0.038704985375198356,0.02029563492063492,0.010113106028750651,0.11400970600138649,0.027830029979258344
delaney,lipo,log mol/L,0.7588775612026006,0.06170446303327292,1.1161123289482633,0.10502977255729695,1.101176732061852,0.11367119299268669,0.016862905604719765,0.005182986090473925,0.159964088113267,0.11648188526289778
freesolv,freesolv,kcal/mol,1.333839962460065,0.2986147462764725,1.8055576192027387,0.33669887212731736,1.687288837274152,0.28008545700212867,0.0908839378238342,0.049311729099222226,0.10282382585064899,0.1489822206637551
qm7,logSolubility,kcal/mol,49.92119182394571,3.875913406340156,5.673564787329841,0.07571589468927423,5.660116834671241,0.07480899698662762,0.21746276232308442,0.030053479217290565,0.6559621991533273,0.021291534988508307
qm9,mu,D,0.6175527280394996,0.04029298467097178,1.0209992779199717,0.06592052179022005,1.00672232708235,0.06525843901002205,0.04288966502352677,0.009183381647116,0.5029841493634264,0.014386530882467443
qm9,alpha,a_0^3,0.6262991214839584,0.04055408350434609,1.42441888154908,0.15485040497123687,1.148575862463643,0.09156968818060185,0.20185926880274851,0.040633223636742204,0.28911268394206946,0.03263359002778992
qm9,homo,eV,0.13809707391033177,0.008999186570478301,-0.3299035032108718,0.07231305501704917,-0.3694621863580266,0.06765439810111026,0.08151813055493316,0.007207162499429757,0.2547342790950033,0.013100454912902534
qm9,lumo,eV,0.14453584858768312,0.00827316071601511,-0.2187172319691551,0.07441893937785223,-0.3117886918479421,0.05753195982701767,0.12074977593546943,0.012457482351027269,0.23432545842708172,0.027124405162783
qm9,gap,eV,0.19203518106168171,0.012414227905587757,0.021506481560709077,0.07545159831410604,-0.04749499483477602,0.06841399309366569,0.10436440361490777,0.010800270592718094,0.2885313733527126,0.026390617429086584
qm9,r2,a_0^2,37.08764540451505,1.8831598750729033,5.276264141274407,0.08532735025591741,5.164257234697379,0.06622020916399446,0.13098186944506685,0.021127125471297963,0.4108181541761018,0.03503416038928072
qm9,zpve,eV,0.051412661149190235,0.013211789395968107,-1.0380679849792274,0.22978473874222358,-1.3569876393733975,0.3176816451491411,0.19296838822914333,0.0580362395952963,-0.022728407256077422,0.10383393484447084
qm9,cv,cal/mol K,0.3485112258902924,0.035964478620032714,0.796385016512448,0.15597971835076407,0.5988666336980988,0.14134509574070783,0.16809713197400852,0.013551458873348294,0.06074640893565682,0.11809480557973913
qm9,u0,kcal/mol,1.5148277034717434,0.16418039482971727,2.6412909556868893,0.30115141997808076,1.9435254100700898,0.0884437055835011,0.30171594592575995,0.04245757596907186,0.49304651237891595,0.05407572856501919
qm9,u298,kcal/mol,1.5154714443705146,0.16408401785955498,2.641313779616783,0.3012078349605039,1.9438073836811933,0.08854985957895331,0.301677201434013,0.04241192826128456,0.49301615372621843,0.05440696551458793
qm9,h298,kcal/mol,1.5140293422999775,0.16558287189065007,2.6409194095932995,0.302294001554609,1.9427063007622722,0.08995926211840212,0.30177496078870714,0.04235612964420965,0.4929346752197955,0.05407069074157557
qm9,g298,kcal/mol,1.5144446558965974,0.16454600797737085,2.641251418496355,0.30130637886987527,1.9433742049888814,0.08864702289998463,0.3017962357158862,0.04233395799659762,0.49285262538824903,0.05429667774440197
