dataset,task,unit,err_mean,err_std,nll_mean,nll_std,cnll_mean,cnll_std,ma_mean,ma_std,sp_mean,sp_std
lipo,u0_atom,log D,0.6406652218789972,0.016914718226317616,0.9421686815944814,0.02719990393291651,0.9253186390613285,0.02628924858731177,0.051505555555555554,0.009249494821176124,0.17783567093033775,0.03158880740285396
delaney,lipo,log mol/L,0.7396221729932897,0.06106751105428542,1.0789084363664956,0.09149524550925922,1.073085025882135,0.09157933003904595,0.051493879056047194,0.02182957202100538,0.2381319902417688,0.07545138769333312
freesolv,freesolv,kcal/mol,1.3181948140819146,0.28646825354719285,1.6420560013390506,0.1766969757695774,1.556150046181783,0.14698751289523646,0.1512247409326425,0.03573257205688987,0.299135162384488,0.10082721078854309
qm7,logSolubility,kcal/mol,47.46360041790921,2.072210114419745,5.624615360426912,0.08189703797397885,5.58933680379619,0.08812801688457562,0.2675462908735969,0.023108859044254092,0.657654265000625,0.03595855336219982
qm9,mu,D,0.5849697610138775,0.037737502474119965,0.9457400069701238,0.0701925715472511,0.9214681194026726,0.07134746823652521,0.05203880050787961,0.008640481290447317,0.5458786950306691,0.018534775584031007
qm9,alpha,a_0^3,0.32897412086956523,0.02491179652644987,0.46247568967294256,0.07921294797933251,0.41894013721073076,0.08512159581495983,0.09727966987825827,0.005354589067050204,0.40033376955680433,0.019275251208523934
qm9,homo,eV,0.10937072973464133,0.009721069700255379,-0.6120320217265927,0.09566361404337263,-0.6527903684232634,0.10090103363981985,0.0779323511838076,0.008283264840932444,0.36708274184821554,0.034091686139067094
qm9,lumo,eV,0.10743534397942403,0.011335495436784608,-0.6251004977417733,0.10488824870406778,-0.6846872316235794,0.10759335253078792,0.09981514676226752,0.008591343649960012,0.41177992268863095,0.03149159141827825
qm9,gap,eV,0.14850376081688332,0.015274119569682013,-0.3193778096143247,0.11237293433776745,-0.37284851184110723,0.11437275134165106,0.09028979012622301,0.007828653209258393,0.4198615316855444,0.03333925331196158
qm9,r2,a_0^2,28.118566867946484,1.9808171204098997,4.806289148828856,0.07950733543146755,4.767909208276692,0.0811718151948675,0.09213440137426246,0.007592421583722052,0.5886224767812964,0.022542828277802743
qm9,zpve,eV,0.005090683750936269,0.00047566067279791345,-3.6256965971491386,0.09122632339611711,-3.6256965971491386,0.09122632339611711,0.1398087982672343,0.021013354857942403,0.4693141157856112,0.024532808382172724
qm9,cv,cal/mol K,0.1561850574203888,0.015462491442450514,-0.3741678254707645,0.11131427472528838,-0.4360749813734176,0.1160913460815665,0.11574669504817388,0.009509007086010804,0.5802736791755205,0.021983922327848307
qm9,u0,kcal/mol,0.014573589132339835,0.004906424676689244,-0.7106962332693374,0.8941742645607434,-1.2225235630672855,1.2559936740010718,0.41865635969825976,0.01889455334496881,0.14770541381052352,0.06869516905501322
qm9,u298,kcal/mol,0.013791315527993668,0.005283478148982303,-0.6996580720273766,0.918185821093085,-1.2074656472021288,1.2756000030187415,0.4262345955635223,0.0077140487500494005,0.18419641158271283,0.060746763612079584
qm9,h298,kcal/mol,0.015684440930576856,0.006655908083471404,-0.6669997864365597,0.9766532841807457,-1.1460226372482858,1.3120731496239937,0.41492951303308684,0.01225283220671328,0.1270745623441653,0.0894824637989878
qm9,g298,kcal/mol,0.014275472303211108,0.005953664338360251,-0.6456411247719958,0.9907094516147487,-1.1403007888216852,1.3466572948442108,0.4256204720292778,0.011261235054377688,0.17238407050723434,0.04711847660087149
