dataset,conv_ratio_mean,conv_ratio_std,epoch_30_mean,epoch_30_std,min_loss_mean,min_loss_std
lipo,0.7539472372332547,0.08507098035861245,0.9034946441650391,0.056507311367935506,1.1005506753921508,0.07503982036110124
delaney,0.708026803812672,0.11458433066691961,0.4328003777191043,0.14165869538262577,0.8159607127308846,0.08524909883305258
freesolv,0.6498538267494733,0.09262167163095178,0.31904030572623016,0.17523907361785038,0.8479434102773666,0.1857585530407336
qm7,0.585013740059097,0.09885521434375381,0.19875263809117313,0.15094887963377004,0.695174316316843,0.09135246087441039
qm9,0.7344824679266854,0.054395505201717397,-2.245078535377979,0.17986735879120927,-1.3755877526476978,0.27450501645320247
