dataset,auco_mean,auco_std
Lipo,32.15987011525913,1.6609303093520411
ESOL,34.67304480926486,2.70864576787405
FreeSolv,48.627521742013585,9.663969921526816
QM7,1332.9655654390322,191.13190490128486
QM9 $\mu$,26.107898294105087,2.3541472178313714
QM9 $\alpha$,32.47320035713524,4.82196863399415
QM9 $\epsilon_{\mathrm{HOMO}}$,8.140044259865716,0.466407692081926
QM9 $\epsilon_{\mathrm{LUMO}}$,8.911764758344992,0.8614041225531677
QM9 $\Delta \epsilon$,12.379616534607209,1.2092888031087965
QM9 $\langle R^2 \rangle$,1887.6926134715513,293.54316053401703
QM9 ZPVE,1.4518573383426434,0.6390931543493708
QM9 $c_v$,16.17263511122876,2.9473356936130988
QM9 $U_0$,20.85884924600204,17.47557855336808
QM9 $U$,20.805588591836134,17.26870697915101
QM9 $H$,20.798050353586618,17.29160113812711
QM9 $G$,20.716654799729064,17.096803747189075
