dataset,task,unit,err_mean,err_std,nll_mean,nll_std,cnll_mean,cnll_std,ma_mean,ma_std,sp_mean,sp_std
lipo,u0_atom,log D,0.7805336726541721,0.03832957775587018,1.172811612536608,0.052417557377426066,1.1256448482824561,0.04654670817223297,0.06373769841269841,0.00889925107290519,0.22949055535464316,0.05095242265593534
delaney,lipo,log mol/L,0.8320285711392468,0.06678242088074945,1.3253085491659595,0.09243745198567359,1.1919398573769087,0.06810677459767277,0.12839977876106196,0.026453503500905022,0.2616280583029672,0.06970999376840772
freesolv,freesolv,kcal/mol,1.6044962386678936,0.17445785907536,1.981132962352497,0.07745578945494909,1.7549306258067265,0.09355913990966402,0.17304041450777202,0.02298851954038235,0.4403400175604935,0.0764366255013472
qm7,logSolubility,kcal/mol,55.958778095805556,4.595754792160004,5.948800743718233,0.06344121941701207,5.88833631720027,0.061310570306094825,0.24681349438750608,0.01746755294805938,0.5609175654380223,0.032912657841844974
qm9,mu,D,0.8280059195664897,0.022309174247380766,1.4276867266831488,0.03802678817618806,1.3553597104172859,0.03220100375849818,0.07450033609679588,0.0068540616988567475,0.405496337938071,0.018519678993112028
qm9,alpha,a_0^3,1.4823562010647207,0.2652823417022018,2.35013221196121,0.15113363385224451,1.9009095112679102,0.18106746985994263,0.2494482410934349,0.021634290184703666,0.567198052090888,0.05228112565314981
qm9,homo,eV,0.23204505577219184,0.021043533186351458,0.2983124762997819,0.07610449763666699,0.1251968721018747,0.077669374159173,0.14691771230114276,0.008110630968851935,0.35258059899079375,0.05661387914394912
qm9,lumo,eV,0.344049912104066,0.049181071864108604,0.8541056235204211,0.09871410483858253,0.44808511724168015,0.12174099669364034,0.21037605497049816,0.016980075074471055,0.5056116957386543,0.06447990367586255
qm9,gap,eV,0.4028428882334639,0.0472990702275742,0.9482204115563446,0.08833957530624581,0.6484144372560752,0.10302093190969915,0.18325603107028157,0.015521727104006702,0.4008606577579727,0.058039894700944505
qm9,r2,a_0^2,72.66471945931377,9.84097862663984,6.177217186571837,0.10127332254261613,5.797973574715517,0.12844276320016332,0.22299294196728658,0.011260035107450474,0.4690003054003662,0.02624261198902199
qm9,zpve,eV,0.15971091531323228,0.03864698705030687,0.2539687157324801,0.14374096978400114,-0.4989094067581086,0.2688806651759378,0.28030118007319443,0.026952753299075885,0.8251338651527985,0.07893986753559606
qm9,cv,cal/mol K,0.8345789538006443,0.16822737653622025,1.8336879363580805,0.1214590387970537,1.2647801274071635,0.1915204688879284,0.25429643737396374,0.02154467333861785,0.6471611541234134,0.057021874030602396
qm9,u0,kcal/mol,2.673715314568332,1.6895498261306088,2.8584033905333,0.8958212271593057,1.6923668979584572,0.891133691389137,0.3560869333034581,0.025759455723301572,0.835758976569817,0.10690062800750215
qm9,u298,kcal/mol,2.6722699564728725,1.6894417909179817,2.857996249886563,0.8966535619479202,1.6887612624953727,0.8959729906739643,0.35653254163865855,0.02616814002638571,0.8359391698673374,0.10631216279527893
qm9,h298,kcal/mol,2.672330290014357,1.690068481078673,2.85818095450297,0.8960724963070793,1.6853758826334162,0.8996046435245756,0.35655840241989695,0.027001091154416203,0.8366551204577592,0.10395403599803087
qm9,g298,kcal/mol,2.674427670449125,1.6888184704128506,2.8586457511422325,0.8955805497924665,1.6850839857327573,0.9009114119678299,0.3570552655164687,0.02684587670038692,0.8377484489262707,0.10325728341189475
